Name,Project
Uganda,
Uzbekistan,
Ireland,
Eritrea,
South Georgia & the South Sandwich Islands,
Mongolia,
Spain,Yes
Cyprus,
Macao,
Jammu-Kashmir,
Heard Island and McDonald Islands,
French Guiana,
Democratic Republic of the Congo,
Guinea-Bissau,
Papua New Guinea,
Mayotte,
Cameroon,
Hong Kong,
Yemen,
Western Sahara,
Tokelau,
United States of America,
Grenada,
Cayman Islands,
Dominican Republic,
Ma'tan al-Sarra,
Switzerland,
Jersey,
Austria,
Portugal,
Luxembourg,
Kazakhstan,
Aruba,
Holy See,
Equatorial Guinea,
Jamaica,
Estonia,
Niger,
Belize,
Morocco,
Glorioso Islands,
Paracel Islands,
Guernsey,
Palau,
Canada,
Ethiopia,
Greenland,
Comoros,
Abyei,
Guatemala,
Kyrgyzstan,
Suriname,
Poland,Yes
Kuwait,
Brunei Darussalam,
Cape Verde,
Italy,Yes
Iran (Islamic Republic of),
United Arab Emirates,
British Virgin Islands,
San Marino,
Zambia,
Latvia,
Marshall Islands,
Syrian Arab Republic,
Sri Lanka,
Andorra,
Australia,
Bouvet Island,
The former Yugoslav Republic of Macedonia,
Peru,
Benin,
Paraguay,
Hungary,
Djibouti,
Vanuatu,
Cambodia,
Georgia,
Christmas Island,
United States Virgin Islands,
Faroe Islands,
Lesotho,
Tajikistan,
Burundi,
Philippines,
Madagascar,
Azerbaijan,
Mauritania,
Nigeria,
Norfolk Island,
Aksai Chin,
Monaco,
Gambia,
Timor-Leste,
Honduras,
Botswana,
Burkina Faso,
Ukraine,
Oman,
Republic of Korea,
Montserrat,
Liberia,
Rwanda,
Nicaragua,
Mozambique,
Egypt,
Germany,
C̫te d'Ivoire,
India,
Venezuela,
Bhutan,
Sierra Leone,
Tonga,
Dominica,
Guantanamo,
Costa Rica,
Indonesia,
Liechtenstein,
Kiribati,
Fiji,
Malawi,
Hala'ib Triangle,
Myanmar,
Mauritius,
Cocos (Keeling) Islands,
Afghanistan,
Sao Tome and Principe,
Colombia,
Czech Republic,
Japan,
Lao People's Democratic Republic,
Tunisia,
Guyana,
Gabon,
Malta,
Finland,
Turkey,
Lithuania,
Russian Federation,
Zimbabwe,
Singapore,
Ilemi Triangle,
Spratly Islands,
Bermuda,
Arunachal Pradesh,
South Sudan,
Bulgaria,
U.K. of Great Britain and Northern Ireland,
Bahrain,
Niue,
Somalia,
Barbados,
Puerto Rico,
Seychelles,
Senegal,
Greece,
West Bank,
Swaziland,
New Caledonia,
Falkland Islands (Malvinas),
Pakistan,
South Africa,
Democratic People's Republic of Korea,
Maldives,
Lebanon,
Isle of Man,
Iceland,
Namibia,
"Moldova, Republic of",
Nauru,
Thailand,
Nepal,
American Samoa,
Northern Mariana Islands,
Kuril Islands,
France,
Serbia,
Uruguay,
Guam,
Panama,
Netherlands Antilles,
Algeria,
Togo,
Bosnia & Herzegovina,
Jordan,
Qatar,
Tuvalu,
Saint Vincent and the Grenadines,
Gaza Strip,
Turks and Caicos Islands,
Bolivia,
Cuba,
China,
Iraq,
Martinique,
Malaysia,
Sweden,
Ghana,
Angola,
Argentina,
Congo,
Bahamas,
Chile,Yes
Guinea,
British Indian Ocean Territory,
Saint Kitts and Nevis,
Solomon Islands,
Pitcairn Island,
Saint Lucia,
Turkmenistan,
French Southern and Antarctic Territories,
Slovenia,
El Salvador,
Cook Islands,
Jarvis Island,
Montenegro,
Svalbard and Jan Mayen Islands,
Vietnam,
Croatia,
Mexico,
Romania,
Belarus,
Ecuador,
Sudan,
United Republic of Tanzania,
Micronesia (Federated States of),
Midway Is.,
Reunion,
Saudi Arabia,
Taiwan,
Guadeloupe,
Central African Republic,
French Polynesia,
Azores Islands,
Brazil,
Haiti,
New Zealand,
Madeira Islands,
Kenya,
Netherlands,
Chad,
Trinidad and Tobago,
Slovakia,
Mali,
Armenia,
Albania,
Gibraltar,
Antigua & Barbuda,
Norway,
Bangladesh,
Denmark,
Belgium,
Samoa,
Anguilla,
Israel,
Libyan Arab Jamahiriya,
